ndc11,brand_name,strength,route,labeler_name
71335021600,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335021601,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335021602,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335021603,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335021604,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335021605,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335021606,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335021607,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335021608,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335021609,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335070701,Morphine sulfate,MORPHINE SULFATE 60 mg/1,ORAL,Bryant Ranch Prepack
71335070702,Morphine sulfate,MORPHINE SULFATE 60 mg/1,ORAL,Bryant Ranch Prepack
71335070703,Morphine sulfate,MORPHINE SULFATE 60 mg/1,ORAL,Bryant Ranch Prepack
71335070704,Morphine sulfate,MORPHINE SULFATE 60 mg/1,ORAL,Bryant Ranch Prepack
71335070705,Morphine sulfate,MORPHINE SULFATE 60 mg/1,ORAL,Bryant Ranch Prepack
71335070706,Morphine sulfate,MORPHINE SULFATE 60 mg/1,ORAL,Bryant Ranch Prepack
71335070707,Morphine sulfate,MORPHINE SULFATE 60 mg/1,ORAL,Bryant Ranch Prepack
71335070708,Morphine sulfate,MORPHINE SULFATE 60 mg/1,ORAL,Bryant Ranch Prepack
00409117830,DEMEROL,MEPERIDINE HYDROCHLORIDE 50 mg/mL,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Hospira, Inc."
71335116300,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE 8 mg/1,SUBLINGUAL,Bryant Ranch Prepack
71335116301,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE 8 mg/1,SUBLINGUAL,Bryant Ranch Prepack
71335116302,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE 8 mg/1,SUBLINGUAL,Bryant Ranch Prepack
71335116303,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE 8 mg/1,SUBLINGUAL,Bryant Ranch Prepack
71335116304,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE 8 mg/1,SUBLINGUAL,Bryant Ranch Prepack
71335116305,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE 8 mg/1,SUBLINGUAL,Bryant Ranch Prepack
71335116306,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE 8 mg/1,SUBLINGUAL,Bryant Ranch Prepack
71335116307,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE 8 mg/1,SUBLINGUAL,Bryant Ranch Prepack
71335116308,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE 8 mg/1,SUBLINGUAL,Bryant Ranch Prepack
71335116309,Buprenorphine HCl,BUPRENORPHINE HYDROCHLORIDE 8 mg/1,SUBLINGUAL,Bryant Ranch Prepack
71335129601,Buprenorphine and Naloxone,"BUPRENORPHINE 2 mg/1, NALOXONE .5 mg/1",SUBLINGUAL,Bryant Ranch Prepack
71335129602,Buprenorphine and Naloxone,"BUPRENORPHINE 2 mg/1, NALOXONE .5 mg/1",SUBLINGUAL,Bryant Ranch Prepack
71335133901,Hydrocodone Bitartrate and Acetaminophen,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,Bryant Ranch Prepack
71335133902,Hydrocodone Bitartrate and Acetaminophen,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,Bryant Ranch Prepack
71335133903,Hydrocodone Bitartrate and Acetaminophen,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,Bryant Ranch Prepack
71335141301,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,Bryant Ranch Prepack
71335141302,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,Bryant Ranch Prepack
71335141303,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,Bryant Ranch Prepack
71335141304,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,Bryant Ranch Prepack
71335141305,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,Bryant Ranch Prepack
71335141306,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,Bryant Ranch Prepack
71335141307,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,Bryant Ranch Prepack
71335141308,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,Bryant Ranch Prepack
71335141309,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,Bryant Ranch Prepack
71335142001,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,Bryant Ranch Prepack
71335142002,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,Bryant Ranch Prepack
71335142003,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,Bryant Ranch Prepack
71335142004,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,Bryant Ranch Prepack
71335142005,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,Bryant Ranch Prepack
71335142006,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,Bryant Ranch Prepack
71335142007,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,Bryant Ranch Prepack
71335142008,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,Bryant Ranch Prepack
71335142009,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,Bryant Ranch Prepack
71335149200,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335149201,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335149202,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335149203,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335149204,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335149205,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335149206,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335149207,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335149208,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335149209,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 5 mg/1",ORAL,Bryant Ranch Prepack
71335167501,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE 100 mg/1,ORAL,Bryant Ranch Prepack
71335167502,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE 100 mg/1,ORAL,Bryant Ranch Prepack
71335167503,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE 100 mg/1,ORAL,Bryant Ranch Prepack
71335167504,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE 100 mg/1,ORAL,Bryant Ranch Prepack
00409146301,Nalbuphine Hydrochloride,NALBUPHINE HYDROCHLORIDE 10 mg/mL,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Hospira, Inc."
00409180501,Hydromorphone Hydrochloride,HYDROMORPHONE HYDROCHLORIDE .25 mg/.5mL,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Hospira, Inc."
71335212601,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 30 mg/1,ORAL,Bryant Ranch Prepack
71335212602,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 30 mg/1,ORAL,Bryant Ranch Prepack
71335212603,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 30 mg/1,ORAL,Bryant Ranch Prepack
71335212604,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 30 mg/1,ORAL,Bryant Ranch Prepack
71335212605,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 30 mg/1,ORAL,Bryant Ranch Prepack
71335212606,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 30 mg/1,ORAL,Bryant Ranch Prepack
71335212607,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 30 mg/1,ORAL,Bryant Ranch Prepack
71335212608,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 30 mg/1,ORAL,Bryant Ranch Prepack
00409202201,Morphine sulfate,MORPHINE SULFATE 50 mg/mL,INTRAVENOUS,"Hospira, Inc."
00409336510,Hydromorphone Hydrochloride,HYDROMORPHONE HYDROCHLORIDE 2 mg/mL,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS","Hospira, Inc."
71335967501,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,Bryant Ranch Prepack
71335967502,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,Bryant Ranch Prepack
71335967503,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,Bryant Ranch Prepack
71335967504,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,Bryant Ranch Prepack
71335967505,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,Bryant Ranch Prepack
71335967506,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,Bryant Ranch Prepack
71335967507,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,Bryant Ranch Prepack
71335967508,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,Bryant Ranch Prepack
71742000801,Heavy Metal Detox T014,"ALUMINUM 12 [hp_X]/mL, ANTIMONY TRISULFIDE 12 [hp_X]/mL, ARCTIUM LAPPA ROOT 3 [hp_X]/mL, ARSENIC TRIOXIDE 12 [hp_X]/mL, AVENA SATIVA FLOWERING TOP 3 [hp_X]/mL, BARIUM CARBONATE 12 [hp_X]/mL, BERBERIS VULGARIS ROOT BARK 3 [hp_X]/mL, BERYLLIUM 12 [hp_X]/mL, BISMUTH 12 [hp_X]/mL, BORON 12 [hp_X]/mL, BROMINE 12 [hp_X]/mL, CADMIUM 12 [hp_X]/mL, CERIUM 12 [hp_X]/mL, CESIUM CHLORIDE 12 [hp_X]/mL, CHROMIUM 12 [hp_X]/mL, COBALT 12 [hp_X]/mL, COPPER 12 [hp_X]/mL, DYSPROSIUM 12 [hp_X]/mL, ERBIUM 12 [hp_X]/mL, EUROPIUM 12 [hp_X]/mL, GADOLINIUM 12 [hp_X]/mL, GARLIC 3 [hp_X]/mL, GERMANIUM SESQUIOXIDE 12 [hp_X]/mL, GOLD 12 [hp_X]/mL, HOLMIUM 12 [hp_X]/mL, INDIUM 12 [hp_X]/mL, IRON 12 [hp_X]/mL, LANTHANUM 14 [hp_C]/mL, LEAD 12 [hp_X]/mL, LITHIUM CARBONATE 12 [hp_X]/mL, LYCOPODIUM CLAVATUM SPORE 12 [hp_X]/mL, MAGNESIUM 12 [hp_X]/mL, MANGANESE 12 [hp_X]/mL, MERCURIUS SOLUBILIS 12 [hp_X]/mL, MOLYBDENUM 12 [hp_X]/mL, NEODYMIUM OXIDE 12 [hp_X]/mL, NICKEL 12 [hp_X]/mL, NIOBIUM 30 [hp_C]/mL, OSMIUM 12 [hp_X]/mL, PALLADIUM 12 [hp_X]/mL, PHYTOLACCA AMERICANA ROOT 3 [hp_X]/mL, PLATINUM 12 [hp_X]/mL, PRASEODYMIUM 12 [hp_X]/mL, RHODIUM 12 [hp_X]/mL, RUBIDIUM NITRITE 12 [hp_X]/mL, SAMARIUM 12 [hp_X]/mL, SELENIUM 12 [hp_X]/mL, SILVER 12 [hp_X]/mL, SOLIDAGO VIRGAUREA FLOWERING TOP 3 [hp_X]/mL, STRONTIUM CARBONATE 12 [hp_X]/mL, STRYCHNOS NUX-VOMICA SEED 12 [hp_X]/mL, TANTALUM 30 [hp_C]/mL, TERBIUM 12 [hp_X]/mL, THALLIUM 12 [hp_X]/mL, TIN 12 [hp_X]/mL, URANYL NITRATE HEXAHYDRATE 12 [hp_X]/mL, VANADIUM 12 [hp_X]/mL, YTTERBIUM OXIDE 12 [hp_X]/mL, ZINC 12 [hp_X]/mL",ORAL,"Guangzhou Renuma Medical Systems Co., Ltd"
71930004312,hydrocodone bitartrate and acetaminophen,"ACETAMINOPHEN 300 mg/1, HYDROCODONE BITARTRATE 7.5 mg/1",ORAL,Eywa Pharma Inc
71930004352,hydrocodone bitartrate and acetaminophen,"ACETAMINOPHEN 300 mg/1, HYDROCODONE BITARTRATE 7.5 mg/1",ORAL,Eywa Pharma Inc
72162133502,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 10 mg/1,ORAL,Bryant Ranch Prepack
72162133503,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 10 mg/1,ORAL,Bryant Ranch Prepack
72162133506,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 10 mg/1,ORAL,Bryant Ranch Prepack
72162133509,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 10 mg/1,ORAL,Bryant Ranch Prepack
72162133601,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,Bryant Ranch Prepack
72162134603,Buprenorphine and Naloxone,"BUPRENORPHINE HYDROCHLORIDE 2 mg/1, NALOXONE HYDROCHLORIDE DIHYDRATE .5 mg/1",SUBLINGUAL,Bryant Ranch Prepack
72162179301,Morphine sulfate,MORPHINE SULFATE 60 mg/1,ORAL,Bryant Ranch Prepack
72162179303,Morphine sulfate,MORPHINE SULFATE 60 mg/1,ORAL,Bryant Ranch Prepack
72162179306,Morphine sulfate,MORPHINE SULFATE 60 mg/1,ORAL,Bryant Ranch Prepack
72162179309,Morphine sulfate,MORPHINE SULFATE 60 mg/1,ORAL,Bryant Ranch Prepack
72162181200,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 30 mg/1,ORAL,Bryant Ranch Prepack
72162181201,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 30 mg/1,ORAL,Bryant Ranch Prepack
72162200101,ACETAMINOPHEN AND CODEINE PHOSPHATE,"ACETAMINOPHEN 300 mg/1, CODEINE PHOSPHATE 30 mg/1",ORAL,Bryant Ranch Prepack
72162200105,ACETAMINOPHEN AND CODEINE PHOSPHATE,"ACETAMINOPHEN 300 mg/1, CODEINE PHOSPHATE 30 mg/1",ORAL,Bryant Ranch Prepack
72189039930,Norco,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,Direct_Rx
72189039960,Norco,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,Direct_Rx
72189039972,Norco,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,Direct_Rx
72189039990,Norco,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,Direct_Rx
72189058260,Buprenorphine Sublingual C-III,BUPRENORPHINE HYDROCHLORIDE 8 mg/1,SUBLINGUAL,Direct_Rx
72245068203,Prolate,"ACETAMINOPHEN 300 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,Forte Bio-Pharma LLC
72245068210,Prolate,"ACETAMINOPHEN 300 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,Forte Bio-Pharma LLC
00487980101,Ipratropium Bromide,IPRATROPIUM BROMIDE .5 mg/2.5mL,RESPIRATORY (INHALATION),Nephron Pharmaceuticals Corporation
00487980102,Ipratropium Bromide,IPRATROPIUM BROMIDE .5 mg/2.5mL,RESPIRATORY (INHALATION),Nephron Pharmaceuticals Corporation
00487980125,Ipratropium Bromide,IPRATROPIUM BROMIDE .5 mg/2.5mL,RESPIRATORY (INHALATION),Nephron Pharmaceuticals Corporation
00487980130,Ipratropium Bromide,IPRATROPIUM BROMIDE .5 mg/2.5mL,RESPIRATORY (INHALATION),Nephron Pharmaceuticals Corporation
00487980160,Ipratropium Bromide,IPRATROPIUM BROMIDE .5 mg/2.5mL,RESPIRATORY (INHALATION),Nephron Pharmaceuticals Corporation
72865011201,Hydrocodone Bitartrate and Acetaminophen,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,"XLCare Pharmaceuticals, Inc."
72865011205,Hydrocodone Bitartrate and Acetaminophen,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,"XLCare Pharmaceuticals, Inc."
72865016801,hydromorphone hydrochloride,HYDROMORPHONE HYDROCHLORIDE 8 mg/1,ORAL,"XLCare Pharmaceuticals, Inc."
72865020401,Hydrocodone Bitartrate and Acetaminophen,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,"XLCare Pharmaceuticals, Inc."
72865020405,Hydrocodone Bitartrate and Acetaminophen,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,"XLCare Pharmaceuticals, Inc."
72888016300,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE 75 mg/1,ORAL,Advagen Pharma Limited
72888016301,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE 75 mg/1,ORAL,Advagen Pharma Limited
72888016305,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE 75 mg/1,ORAL,Advagen Pharma Limited
72888016330,Tramadol Hydrochloride,TRAMADOL HYDROCHLORIDE 75 mg/1,ORAL,Advagen Pharma Limited
76420020901,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420020930,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420020960,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420020990,Oxycodone and Acetaminophen,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420021501,Hydrocodone Bitartrate and Acetaminophen,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420021530,Hydrocodone Bitartrate and Acetaminophen,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420021560,Hydrocodone Bitartrate and Acetaminophen,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420021590,Hydrocodone Bitartrate and Acetaminophen,"ACETAMINOPHEN 325 mg/1, HYDROCODONE BITARTRATE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420032201,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,"Asclemed USA, Inc."
76420032205,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,"Asclemed USA, Inc."
76420032230,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,"Asclemed USA, Inc."
76420032260,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,"Asclemed USA, Inc."
76420032290,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 7.5 mg/1",ORAL,"Asclemed USA, Inc."
76420032301,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420032305,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420032330,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420032360,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420032390,OXYCODONE AND ACETAMINOPHEN,"ACETAMINOPHEN 325 mg/1, OXYCODONE HYDROCHLORIDE 10 mg/1",ORAL,"Asclemed USA, Inc."
76420075701,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 10 mg/1,ORAL,"Asclemed USA, Inc."
76420075710,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 10 mg/1,ORAL,"Asclemed USA, Inc."
76420075720,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 10 mg/1,ORAL,"Asclemed USA, Inc."
76420075730,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 10 mg/1,ORAL,"Asclemed USA, Inc."
76420075760,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 10 mg/1,ORAL,"Asclemed USA, Inc."
76420075790,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 10 mg/1,ORAL,"Asclemed USA, Inc."
76420075801,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,"Asclemed USA, Inc."
76420075810,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,"Asclemed USA, Inc."
76420075820,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,"Asclemed USA, Inc."
76420075830,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,"Asclemed USA, Inc."
76420075860,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,"Asclemed USA, Inc."
76420075890,Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE 15 mg/1,ORAL,"Asclemed USA, Inc."
80425005701,Tramadol HCL,TRAMADOL HYDROCHLORIDE 50 mg/1,ORAL,"Advanced Rx of Tennessee, LLC"
80425005702,Tramadol HCL,TRAMADOL HYDROCHLORIDE 50 mg/1,ORAL,"Advanced Rx of Tennessee, LLC"
