drug1,drug2,n_total,n_ae,n_no_ae,ae_prop,p_value,p_adj,significant,drug1_name,drug2_name
C02C,N02A,5206,130,5076,0.024971187091817133,2.7037029689956177e-07,3.4020889396703476e-06,True,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",OPIOIDS
C01C,N02A,2293,57,2236,0.024858264282599216,0.0009090974293070928,0.00478434749338459,True,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,OPIOIDS
A06A,N02A,26855,666,26189,0.024799851051945633,1.060923205566856e-31,1.703418298858144e-29,True,DRUGS FOR CONSTIPATION,OPIOIDS
J02A,N02A,8541,206,8335,0.02411895562580494,2.0066743824466192e-09,3.595888826402111e-08,True,ANTIMYCOTICS FOR SYSTEMIC USE,OPIOIDS
D04A,N02A,6322,151,6171,0.023884846567541917,6.023133289464383e-07,7.089987397041066e-06,True,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",OPIOIDS
N02A,S02A,467,11,456,0.023554603854389723,0.261213104298794,0.48185174662470553,False,OPIOIDS,ANTIINFECTIVES
C04A,N02A,645,15,630,0.023255813953488372,0.18687792339884143,0.3821165737823345,False,PERIPHERAL VASODILATORS,OPIOIDS
A12A,N02A,430,10,420,0.023255813953488372,0.31087212403835535,0.5420680738010245,False,CALCIUM,OPIOIDS
G03F,N02A,1553,36,1517,0.0231809401159047,0.03014038781591453,0.09356807168838432,False,PROGESTOGENS AND ESTROGENS IN COMBINATION,OPIOIDS
D03B,N02A,561,13,548,0.023172905525846704,0.23276909062307938,0.4428128577066543,False,ENZYMES,OPIOIDS
N02A,P01A,5059,115,4944,0.022731765170982406,0.0001487169545881561,0.0009916110560080707,True,OPIOIDS,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
L02B,N02A,4150,94,4056,0.022650602409638555,0.0007231116107062296,0.003949074837244634,True,HORMONE ANTAGONISTS AND RELATED AGENTS,OPIOIDS
A07D,N02A,4339,98,4241,0.022585849274026272,0.0006129055896412578,0.003440843408139872,True,ANTIPROPULSIVES,OPIOIDS
B05X,N02A,26533,597,25936,0.022500282666867676,7.672747257613008e-18,3.948513781033156e-16,True,I.V. SOLUTION ADDITIVES,OPIOIDS
C02D,N02A,7350,165,7185,0.022448979591836733,1.0554748494138164e-05,9.391643350628108e-05,True,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",OPIOIDS
N02A,S01F,358,8,350,0.0223463687150838,0.45203990203139366,0.6909857964544442,False,OPIOIDS,MYDRIATICS AND CYCLOPLEGICS
A03A,N02A,10179,226,9953,0.022202573926711856,5.462788431977262e-07,6.487465315371813e-06,True,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,OPIOIDS
J01E,N02A,16719,371,16348,0.022190322387702615,1.0933691300042312e-10,2.4936270953619227e-09,True,SULFONAMIDES AND TRIMETHOPRIM,OPIOIDS
H05B,N02A,1088,24,1064,0.022058823529411766,0.13817647868867727,0.3077915568570203,False,ANTI-PARATHYROID AGENTS,OPIOIDS
D11A,N02A,956,21,935,0.021966527196652718,0.17662536960582503,0.36582777791423204,False,OTHER DERMATOLOGICAL PREPARATIONS,OPIOIDS
N02A,N04B,12101,264,11837,0.021816378811668456,2.839849318127734e-07,3.551138680051316e-06,True,OPIOIDS,DOPAMINERGIC AGENTS
C03D,N02A,10707,233,10474,0.021761464462501167,1.7993644938798154e-06,1.9311895931640585e-05,True,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,OPIOIDS
N01B,N02A,15665,338,15327,0.021576763485477178,1.887880730417308e-08,2.983446162163415e-07,True,"ANESTHETICS, LOCAL",OPIOIDS
C01B,N02A,4196,90,4106,0.021448999046711152,0.005476290335684265,0.02220386808831984,True,"ANTIARRHYTHMICS, CLASS I AND III",OPIOIDS
H02A,N02A,56065,1190,54875,0.021225363417461875,9.366814539634858e-25,1.0742398160598377e-22,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
N02A,N03A,54841,1164,53677,0.021224995897230176,3.2953854993921327e-24,3.226262779160981e-22,True,OPIOIDS,ANTIEPILEPTICS
D06A,N02A,8396,178,8218,0.021200571700809908,0.00014438453691474908,0.0009643253430545804,True,ANTIBIOTICS FOR TOPICAL USE,OPIOIDS
B03B,N02A,17160,363,16797,0.021153846153846155,5.154501978032409e-08,7.442507532310105e-07,True,VITAMIN B12 AND FOLIC ACID,OPIOIDS
A03B,N02A,1471,31,1440,0.02107409925220938,0.1444492781061242,0.31840714020756866,False,"BELLADONNA AND DERIVATIVES, PLAIN",OPIOIDS
G03D,N02A,4821,101,4720,0.020950010371292262,0.006732381551130873,0.02623667917110614,True,PROGESTOGENS,OPIOIDS
B01A,N02A,45861,959,44902,0.020911013715357276,4.221614064271372e-18,2.2594078471980384e-16,True,ANTITHROMBOTIC AGENTS,OPIOIDS
B03A,N02A,10207,213,9994,0.020868031742921525,8.3545007688081e-05,0.0005956477102308297,True,IRON PREPARATIONS,OPIOIDS
C03C,N02A,44237,915,43322,0.020684042769627237,4.800955417502899e-16,2.0946777223757213e-14,True,HIGH-CEILING DIURETICS,OPIOIDS
J01M,N02A,21921,450,21471,0.020528260572054195,5.5668931384347064e-08,8.009143031425416e-07,True,QUINOLONE ANTIBACTERIALS,OPIOIDS
A11C,N02A,30960,632,30328,0.02041343669250646,2.3268176062379688e-10,4.9680031231059615e-09,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",OPIOIDS
J05A,N02A,17904,363,17541,0.02027479892761394,3.878260775947519e-06,3.8628632145541794e-05,True,DIRECT ACTING ANTIVIRALS,OPIOIDS
N02A,N05B,100161,2020,98141,0.02016753027625523,1.2168318124661927e-29,1.7444153197283203e-27,True,OPIOIDS,ANXIOLYTICS
N02A,N02B,148562,2944,145618,0.019816642209986402,4.6284986226225295e-39,9.289396735603416e-37,True,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
N02A,N07X,456,9,447,0.019736842105263157,0.6489170640277617,0.8595936514871245,False,OPIOIDS,OTHER NERVOUS SYSTEM DRUGS
A07E,N02A,3655,72,3583,0.01969904240766074,0.08237241617233268,0.20808236533401095,False,INTESTINAL ANTIINFLAMMATORY AGENTS,OPIOIDS
J01A,N02A,12434,244,12190,0.019623612674923598,0.001193706577939442,0.006049921974556718,True,TETRACYCLINES,OPIOIDS
N02A,R03B,28926,567,28359,0.019601742377100186,5.870238352902524e-07,6.930334337809038e-06,True,OPIOIDS,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
N02A,P03A,768,15,753,0.01953125,0.5195768281054716,0.7534614841095963,False,OPIOIDS,"ECTOPARASITICIDES, INCL. SCABICIDES"
A11G,N02A,666,13,653,0.01951951951951952,0.5641285433656644,0.7892687253641606,False,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",OPIOIDS
J04A,N02A,514,10,504,0.019455252918287938,0.6492447960250699,0.8595936514871245,False,DRUGS FOR TREATMENT OF TUBERCULOSIS,OPIOIDS
C01D,N02A,12330,239,12091,0.01938361719383617,0.002594746068575768,0.011572567465847925,True,VASODILATORS USED IN CARDIAC DISEASES,OPIOIDS
N02A,R03A,88470,1703,86767,0.019249463094834406,1.8502736873696726e-16,8.439771114888483e-15,True,OPIOIDS,"ADRENERGICS, INHALANTS"
C01A,N02A,2633,50,2583,0.0189897455374098,0.2457066986767052,0.46065702404871306,False,CARDIAC GLYCOSIDES,OPIOIDS
N02A,S01G,3655,69,3586,0.018878248974008208,0.1801368472565763,0.3721406612907346,False,OPIOIDS,DECONGESTANTS AND ANTIALLERGICS
J01X,N02A,6690,126,6564,0.01883408071748879,0.06747764227551137,0.17831155766550535,False,OTHER ANTIBACTERIALS,OPIOIDS
L02A,N02A,693,13,680,0.01875901875901876,0.6638001412621761,0.8687622324833306,False,HORMONES AND RELATED AGENTS,OPIOIDS
N02A,R03D,22504,422,22082,0.018752221827230714,0.0008043910396511929,0.004316611809037284,True,OPIOIDS,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
L04A,N02A,12330,231,12099,0.018734793187347932,0.01497728584119483,0.05173737122767302,False,IMMUNOSUPPRESSANTS,OPIOIDS
N02A,N06A,170642,3194,167448,0.018717549020756907,2.482023653934039e-24,2.5545751145874957e-22,True,OPIOIDS,ANTIDEPRESSANTS
D06B,N02A,4125,77,4048,0.018666666666666668,0.18562152741667143,0.38053361136390146,False,CHEMOTHERAPEUTICS FOR TOPICAL USE,OPIOIDS
H05A,N02A,430,8,422,0.018604651162790697,0.8074012819630582,0.9694611862996456,False,PARATHYROID HORMONES AND ANALOGUES,OPIOIDS
D08A,N02A,5386,100,5286,0.01856665428889714,0.14113181181391382,0.3131581495970426,False,ANTISEPTICS AND DISINFECTANTS,OPIOIDS
N02A,R05D,10963,202,10761,0.018425613426981666,0.04257137837997338,0.12427746386706409,False,OPIOIDS,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS"
G04C,N02A,23399,429,22970,0.018334116842600112,0.003701288941144284,0.015688462312305338,True,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,OPIOIDS
C05A,N02A,988,18,970,0.018218623481781375,0.6617001579775361,0.8684390324602438,False,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,OPIOIDS
C08D,N02A,11986,217,11769,0.018104455197730684,0.06538822983531245,0.17367132058515822,False,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,OPIOIDS
C09A,N02A,72777,1309,71468,0.017986451763606633,5.753966536713438e-06,5.537956351182963e-05,True,"ACE INHIBITORS, PLAIN",OPIOIDS
C08C,N02A,58241,1043,57198,0.0179083463539431,0.00011410856910526377,0.0007829603357068867,True,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS
N02A,R06A,54194,965,53229,0.01780639923238735,0.00043997236791461805,0.002563206218881389,True,OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
N02A,R03C,341,6,335,0.017595307917888565,0.9811380521536536,1.0,False,OPIOIDS,ADRENERGICS FOR SYSTEMIC USE
M03B,N02A,125035,2188,122847,0.01749910025192946,2.8642211505786936e-06,2.940405037959815e-05,True,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
C07A,N02A,95731,1674,94057,0.017486498626359277,7.049229867116507e-05,0.0005172871789141802,True,BETA BLOCKING AGENTS,OPIOIDS
N02A,N06D,3783,66,3717,0.017446471054718478,0.5080788247530943,0.743774034485383,False,OPIOIDS,ANTI-DEMENTIA DRUGS
M02A,N02A,10821,188,10633,0.01737362535809999,0.25629426058790644,0.4745226761991958,False,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,OPIOIDS
M04A,N02A,14545,252,14293,0.017325541423169475,0.19914977700747555,0.3980834274269474,False,ANTIGOUT PREPARATIONS,OPIOIDS
J01D,N02A,26174,453,25721,0.017307251470925347,0.08343254544968426,0.21009927066187742,False,OTHER BETA-LACTAM ANTIBACTERIALS,OPIOIDS
A02B,N02A,154384,2667,151717,0.01727510622862473,5.684226750589486e-06,5.4847322540543744e-05,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OPIOIDS
A10A,N02A,39012,672,38340,0.017225469086434943,0.04454310337991447,0.12872283438947205,False,INSULINS AND ANALOGUES,OPIOIDS
C03B,N02A,6115,103,6012,0.016843826655764515,0.6192864813437506,0.8380777709986542,False,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",OPIOIDS
H03A,N02A,47097,793,46304,0.01683759050470306,0.1257626016463251,0.28811632643242696,False,THYROID PREPARATIONS,OPIOIDS
M03A,N02A,775,13,762,0.016774193548387096,0.9715603358475319,1.0,False,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",OPIOIDS
N02A,N06B,15449,258,15191,0.016700110039484756,0.48397187755371374,0.7225729032828733,False,OPIOIDS,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
D01A,N02A,15475,256,15219,0.01654281098546042,0.5871447078287683,0.8118669263049486,False,ANTIFUNGALS FOR TOPICAL USE,OPIOIDS
L01B,N02A,9170,151,9019,0.016466739367502727,0.7332336138876745,0.9163137379032147,False,ANTIMETABOLITES,OPIOIDS
G03A,N02A,8018,130,7888,0.01621351958094288,0.8957192645450052,1.0,False,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,OPIOIDS
G04B,N02A,22040,357,21683,0.0161978221415608,0.804125432256993,0.9672638552830595,False,UROLOGICALS,OPIOIDS
J07A,N02A,1180,19,1161,0.016101694915254237,1.0,1.0,False,BACTERIAL VACCINES,OPIOIDS
C10A,N02A,136398,2190,134208,0.016055953899617295,0.7869241358786484,0.955159806899575,False,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS
C09C,N02A,33655,529,33126,0.015718318229089288,0.7249492119938964,0.9104962881550376,False,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",OPIOIDS
J01F,N02A,22932,359,22573,0.015654979940694227,0.7206659659800011,0.9083370090425976,False,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",OPIOIDS
A01A,N02A,9157,143,9014,0.015616468275636125,0.8193384547938478,0.9756228292917547,False,STOMATOLOGICAL PREPARATIONS,OPIOIDS
N02A,S01A,5584,87,5497,0.015580229226361032,0.8581432485302958,0.9984310143769877,False,OPIOIDS,ANTIINFECTIVES
A10B,N02A,68218,1055,67163,0.015465126506200709,0.28017404048058636,0.5075813992778605,False,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",OPIOIDS
N02A,R01A,48445,747,47698,0.015419547940963979,0.3293908785579323,0.5625067154254751,False,OPIOIDS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
N02A,N05C,52369,806,51563,0.015390784624491588,0.2835295014904168,0.5117299545784771,False,OPIOIDS,HYPNOTICS AND SEDATIVES
A12B,N02A,1040,16,1024,0.015384615384615385,0.9788071474778299,1.0,False,POTASSIUM,OPIOIDS
D05A,N02A,983,15,968,0.015259409969481181,0.9599765002092628,1.0,False,ANTIPSORIATICS FOR TOPICAL USE,OPIOIDS
C03A,N02A,33409,509,32900,0.015235415606573079,0.2848986004286631,0.5135082991112051,False,"LOW-CEILING DIURETICS, THIAZIDES",OPIOIDS
G03X,N02A,727,11,716,0.015130674002751032,0.9742251237652755,1.0,False,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OPIOIDS
N02A,N02C,16491,245,16246,0.014856588442180583,0.26292912103510874,0.48346852626563047,False,OPIOIDS,ANTIMIGRAINE PREPARATIONS
N02A,R01B,1280,19,1261,0.01484375,0.8338921913951775,0.985642890535996,False,OPIOIDS,NASAL DECONGESTANTS FOR SYSTEMIC USE
D10A,N02A,3725,55,3670,0.01476510067114094,0.6018136887449094,0.8230852726464915,False,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,OPIOIDS
B05C,N02A,271,4,267,0.014760147601476014,1.0,1.0,False,IRRIGATING SOLUTIONS,OPIOIDS
M05B,N02A,8709,128,8581,0.014697439430474222,0.36364012892179265,0.6012932241983555,False,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,OPIOIDS
G03B,N02A,5943,87,5856,0.01463907117617365,0.44207351283170404,0.6832818946886638,False,ANDROGENS,OPIOIDS
C09B,N02A,17976,263,17713,0.014630618602581219,0.1564788063725181,0.33660553525149395,False,"ACE INHIBITORS, COMBINATIONS",OPIOIDS
J01C,N02A,24549,357,24192,0.01454234388366125,0.07437413058582433,0.1922329428019954,False,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",OPIOIDS
N02A,S02C,2721,39,2682,0.014332965821389196,0.5450669220018647,0.7766768281560116,False,OPIOIDS,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION
N02A,S01E,10562,151,10411,0.014296534747206968,0.18000570451106176,0.3720612244631318,False,OPIOIDS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
M01A,N02A,162099,2302,159797,0.014201198033300637,2.42539551994075e-10,5.1510781042551165e-09,True,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS
A11H,N02A,1550,22,1528,0.014193548387096775,0.6479537811809433,0.8592290973440061,False,OTHER PLAIN VITAMIN PREPARATIONS,OPIOIDS
D01B,N02A,1922,27,1895,0.01404786680541103,0.5609414251402634,0.787110890828284,False,ANTIFUNGALS FOR SYSTEMIC USE,OPIOIDS
C03E,N02A,6712,94,6618,0.01400476758045292,0.21500904140144889,0.41956552852961393,False,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,OPIOIDS
D07A,N02A,27496,374,27122,0.013601978469595578,0.0015760176853293092,0.007612677483648432,True,"CORTICOSTEROIDS, PLAIN",OPIOIDS
D07X,N02A,4212,57,4155,0.013532763532763533,0.22907013360992118,0.4382685969066843,False,"CORTICOSTEROIDS, OTHER COMBINATIONS",OPIOIDS
N02A,P01B,9325,126,9199,0.013512064343163538,0.06263804295087945,0.16795531356368076,False,OPIOIDS,ANTIMALARIALS
G01A,N02A,1786,24,1762,0.013437849944008958,0.44746630002421306,0.6887000491937083,False,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",OPIOIDS
G03C,N02A,16467,220,16247,0.013360053440213761,0.0076682910517920045,0.029370725459821664,True,ESTROGENS,OPIOIDS
N02A,N07A,1839,24,1815,0.013050570962479609,0.36479758013620256,0.6022057511382753,False,OPIOIDS,PARASYMPATHOMIMETICS
N02A,S01X,4148,53,4095,0.012777242044358728,0.11370378392886529,0.26721720649324665,False,OPIOIDS,OTHER OPHTHALMOLOGICALS
J07B,N02A,1104,14,1090,0.012681159420289856,0.4521521480190852,0.6909857964544442,False,VIRAL VACCINES,OPIOIDS
C10B,N02A,637,8,629,0.012558869701726845,0.5970261154748119,0.8212689607662422,False,"LIPID MODIFYING AGENTS, COMBINATIONS",OPIOIDS
C07C,N02A,984,12,972,0.012195121951219513,0.41357713311525346,0.6559062079512554,False,BETA BLOCKING AGENTS AND OTHER DIURETICS,OPIOIDS
N02A,S01C,1904,23,1881,0.01207983193277311,0.20633288895374635,0.4085940879429392,False,OPIOIDS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
H03B,N02A,1352,16,1336,0.011834319526627219,0.26910560093667557,0.4915898371479369,False,ANTITHYROID PREPARATIONS,OPIOIDS
C09D,N02A,16167,184,15983,0.011381208634873508,3.0373332721633348e-06,3.094379633112596e-05,True,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), COMBINATIONS",OPIOIDS
N02A,S01B,6046,65,5981,0.010750909692358585,0.0013883096644928571,0.006846038075275588,True,OPIOIDS,ANTIINFLAMMATORY AGENTS
A08A,N02A,1440,15,1425,0.010416666666666666,0.11480313208018071,0.2692096343139757,False,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",OPIOIDS
D07C,N02A,1116,11,1105,0.00985663082437276,0.1309261749250831,0.2964115432314064,False,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS",OPIOIDS
C07B,N02A,1016,10,1006,0.00984251968503937,0.1517205389043682,0.33008468464072305,False,BETA BLOCKING AGENTS AND THIAZIDES,OPIOIDS
M09A,N02A,415,4,411,0.00963855421686747,0.40477637722296644,0.6452630572569449,False,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,OPIOIDS
G02B,N02A,825,7,818,0.008484848484848486,0.11486327180547348,0.2692096343139757,False,CONTRACEPTIVES FOR TOPICAL USE,OPIOIDS
D02A,N02A,236,2,234,0.00847457627118644,0.5099901297657071,0.7452130982451942,False,EMOLLIENTS AND PROTECTIVES,OPIOIDS
A03C,N02A,359,2,357,0.005571030640668524,0.17339412532494708,0.36099793519415846,False,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,OPIOIDS
G03E,N02A,485,2,483,0.004123711340206186,0.057379812444063746,0.1570024315954137,False,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,OPIOIDS
