drug1,drug2,drug3,n_total,n_ae,n_no_ae,ae_prop,p_value,p_adj,significant,drug1_name,drug2_name,drug3_name
A04A,A06A,B01A,236,24,212,0.1016949152542373,2.7583637568629957e-19,4.299653160900277e-17,True,ANTIEMETICS AND ANTINAUSEANTS,DRUGS FOR CONSTIPATION,ANTITHROMBOTIC AGENTS
A04A,C02A,M03B,207,21,186,0.10144927536231885,6.749656030766329e-17,7.335318492512822e-15,True,ANTIEMETICS AND ANTINAUSEANTS,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
A04A,A10B,N05A,228,23,205,0.10087719298245613,2.62860307249198e-18,3.6890964445198703e-16,True,ANTIEMETICS AND ANTINAUSEANTS,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",ANTIPSYCHOTICS
A04A,N06A,N07B,574,57,517,0.09930313588850175,2.3787046138472875e-43,2.4741955841275713e-40,True,ANTIEMETICS AND ANTINAUSEANTS,ANTIDEPRESSANTS,DRUGS USED IN ADDICTIVE DISORDERS
C02A,N03A,N07B,212,21,191,0.09905660377358491,2.3221641844295513e-16,2.4005513851917587e-14,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANTIEPILEPTICS,DRUGS USED IN ADDICTIVE DISORDERS
A03A,A04A,N05B,376,37,339,0.09840425531914894,4.760239652230629e-28,1.7392930812081291e-25,True,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ANTIEMETICS AND ANTINAUSEANTS,ANXIOLYTICS
J01A,N05A,N05B,255,25,230,0.09803921568627451,4.415951110815055e-19,6.637080563148415e-17,True,TETRACYCLINES,ANTIPSYCHOTICS,ANXIOLYTICS
C01C,H02A,N02A,378,37,341,0.09788359788359788,7.69691575638403e-28,2.7185506451548396e-25,True,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
A04A,A06A,N05A,246,24,222,0.0975609756097561,3.1961491341574664e-18,4.3982332760431833e-16,True,ANTIEMETICS AND ANTINAUSEANTS,DRUGS FOR CONSTIPATION,ANTIPSYCHOTICS
M01A,N06A,V03A,268,26,242,0.09701492537313433,1.565211122587597e-19,2.4939815120207787e-17,True,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ANTIDEPRESSANTS,ALL OTHER THERAPEUTIC PRODUCTS
A04A,B05X,H02A,373,36,337,0.09651474530831099,1.4185659698216098e-26,4.554886368554478e-24,True,ANTIEMETICS AND ANTINAUSEANTS,I.V. SOLUTION ADDITIVES,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
A03F,A04A,N05B,240,23,217,0.09583333333333334,4.582142156167398e-17,5.057539404869765e-15,True,PROPULSIVES,ANTIEMETICS AND ANTINAUSEANTS,ANXIOLYTICS
A04A,C10A,N05A,502,48,454,0.09561752988047809,1.0477618346185646e-34,6.728535999768672e-32,True,ANTIEMETICS AND ANTINAUSEANTS,"LIPID MODIFYING AGENTS, PLAIN",ANTIPSYCHOTICS
H02A,N05A,N07B,242,23,219,0.09504132231404959,7.171429654301717e-17,7.753925369079695e-15,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",ANTIPSYCHOTICS,DRUGS USED IN ADDICTIVE DISORDERS
A04A,N02B,N07B,411,39,372,0.0948905109489051,4.854720724572318e-28,1.7437498575446873e-25,True,ANTIEMETICS AND ANTINAUSEANTS,OTHER ANALGESICS AND ANTIPYRETICS,DRUGS USED IN ADDICTIVE DISORDERS
B05X,H02A,N05A,274,26,248,0.0948905109489051,6.121712615558823e-19,9.13600941893821e-17,True,I.V. SOLUTION ADDITIVES,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",ANTIPSYCHOTICS
N02B,N05B,V03A,285,27,258,0.09473684210526316,1.349160272585054e-19,2.1660154921683683e-17,True,OTHER ANALGESICS AND ANTIPYRETICS,ANXIOLYTICS,ALL OTHER THERAPEUTIC PRODUCTS
H02A,L01E,N02A,201,19,182,0.0945273631840796,6.010043600438127e-14,4.917561543648061e-12,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",PROTEIN KINASE INHIBITORS,OPIOIDS
A04A,N01B,N05B,352,33,319,0.09375,1.9418667926566561e-23,4.3317937968399855e-21,True,ANTIEMETICS AND ANTINAUSEANTS,"ANESTHETICS, LOCAL",ANXIOLYTICS
N05A,N07B,R06A,387,36,351,0.09302325581395349,3.2302154979050504e-25,9.250638761027544e-23,True,ANTIPSYCHOTICS,DRUGS USED IN ADDICTIVE DISORDERS,ANTIHISTAMINES FOR SYSTEMIC USE
C02A,N05B,R06A,486,45,441,0.09259259259259259,4.1154114278547084e-31,1.8959521517194996e-28,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANXIOLYTICS,ANTIHISTAMINES FOR SYSTEMIC USE
C02A,N05A,R06A,271,25,246,0.09225092250922509,1.5632506683892183e-17,1.861146526095748e-15,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANTIPSYCHOTICS,ANTIHISTAMINES FOR SYSTEMIC USE
A10B,N05A,N07B,282,26,256,0.09219858156028368,3.435864120184067e-18,4.6377600277032325e-16,True,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",ANTIPSYCHOTICS,DRUGS USED IN ADDICTIVE DISORDERS
A04A,C07A,N01B,239,22,217,0.09205020920502092,1.822322167198809e-15,1.724046936039159e-13,True,ANTIEMETICS AND ANTINAUSEANTS,BETA BLOCKING AGENTS,"ANESTHETICS, LOCAL"
A04A,H02A,J05A,207,19,188,0.09178743961352658,2.1386824897626027e-13,1.5894426137329293e-11,True,ANTIEMETICS AND ANTINAUSEANTS,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",DIRECT ACTING ANTIVIRALS
A04A,A10B,H02A,275,25,250,0.09090909090909091,3.565541042650143e-17,4.019199243395842e-15,True,ANTIEMETICS AND ANTINAUSEANTS,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
A02B,A04A,M04A,231,21,210,0.09090909090909091,1.5373188399419388e-14,1.3518199525331772e-12,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),ANTIEMETICS AND ANTINAUSEANTS,ANTIGOUT PREPARATIONS
A04A,M04A,N02A,464,42,422,0.09051724137931035,3.7635221526195955e-28,1.3992379203213066e-25,True,ANTIEMETICS AND ANTINAUSEANTS,ANTIGOUT PREPARATIONS,OPIOIDS
A02B,A04A,N05A,1050,94,956,0.08952380952380952,6.781841169690036e-61,1.1976731505672601e-57,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),ANTIEMETICS AND ANTINAUSEANTS,ANTIPSYCHOTICS
A04A,C09A,H02A,303,27,276,0.0891089108910891,5.702616843240112e-18,7.236518331852961e-16,True,ANTIEMETICS AND ANTINAUSEANTS,"ACE INHIBITORS, PLAIN","CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
A02B,A04A,A07D,203,18,185,0.08866995073891626,3.909608724882709e-12,2.353762161866885e-10,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),ANTIEMETICS AND ANTINAUSEANTS,ANTIPROPULSIVES
A04A,N02B,N05A,848,75,773,0.08844339622641509,6.770642444917234e-48,8.600562121257025e-45,True,ANTIEMETICS AND ANTINAUSEANTS,OTHER ANALGESICS AND ANTIPYRETICS,ANTIPSYCHOTICS
A04A,A11C,C03C,215,19,196,0.08837209302325581,1.0367248806913274e-12,6.844322016078072e-11,True,ANTIEMETICS AND ANTINAUSEANTS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",HIGH-CEILING DIURETICS
A04A,B05X,H03A,273,24,249,0.08791208791208792,9.45582590045628e-16,9.179217785685733e-14,True,ANTIEMETICS AND ANTINAUSEANTS,I.V. SOLUTION ADDITIVES,THYROID PREPARATIONS
A04A,N02A,N05A,2728,236,2492,0.08651026392961877,9.754111117645091e-144,2.0670912280513476e-139,True,ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS,ANTIPSYCHOTICS
A04A,J01M,R06A,243,21,222,0.08641975308641975,1.5314078214380002e-13,1.1801307109786945e-11,True,ANTIEMETICS AND ANTINAUSEANTS,QUINOLONE ANTIBACTERIALS,ANTIHISTAMINES FOR SYSTEMIC USE
A04A,M03B,N07B,302,26,276,0.08609271523178808,1.6939921650615575e-16,1.777182275345769e-14,True,ANTIEMETICS AND ANTINAUSEANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",DRUGS USED IN ADDICTIVE DISORDERS
A04A,B03B,H02A,245,21,224,0.08571428571428572,2.195821249183248e-13,1.621388289640815e-11,True,ANTIEMETICS AND ANTINAUSEANTS,VITAMIN B12 AND FOLIC ACID,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
A04A,H03A,N05A,304,26,278,0.08552631578947369,2.429116570033567e-16,2.4989241918520072e-14,True,ANTIEMETICS AND ANTINAUSEANTS,THYROID PREPARATIONS,ANTIPSYCHOTICS
C02C,N03A,N05A,370,31,339,0.08378378378378379,9.354042376555988e-19,1.3577456578354418e-16,True,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",ANTIEPILEPTICS,ANTIPSYCHOTICS
A04A,B01A,H02A,314,26,288,0.08280254777070063,1.3705659551792415e-15,1.3142549195546826e-13,True,ANTIEMETICS AND ANTINAUSEANTS,ANTITHROMBOTIC AGENTS,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
C10A,N05B,V03A,230,19,211,0.08260869565217391,1.4713414077155588e-11,8.141166347861128e-10,True,"LIPID MODIFYING AGENTS, PLAIN",ANXIOLYTICS,ALL OTHER THERAPEUTIC PRODUCTS
A04A,N05A,N06A,1292,106,1186,0.08204334365325078,6.042020576317133e-60,9.849423081024053e-57,True,ANTIEMETICS AND ANTINAUSEANTS,ANTIPSYCHOTICS,ANTIDEPRESSANTS
A03A,A04A,M01A,366,30,336,0.08196721311475409,1.3461653187129558e-17,1.6117477646420881e-15,True,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ANTIEMETICS AND ANTINAUSEANTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
A04A,A06A,B05X,208,17,191,0.08173076923076923,2.9122837244367885e-10,1.3244016456709104e-08,True,ANTIEMETICS AND ANTINAUSEANTS,DRUGS FOR CONSTIPATION,I.V. SOLUTION ADDITIVES
A04A,A07D,N06A,257,21,236,0.08171206225680934,1.6878573611647767e-12,1.0806366525016298e-10,True,ANTIEMETICS AND ANTINAUSEANTS,ANTIPROPULSIVES,ANTIDEPRESSANTS
A03A,A04A,M03B,380,31,349,0.08157894736842106,4.9904374337990596e-18,6.409536369519373e-16,True,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ANTIEMETICS AND ANTINAUSEANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
A04A,A06A,C03C,346,28,318,0.08092485549132948,3.604133019568751e-16,3.6720570649375465e-14,True,ANTIEMETICS AND ANTINAUSEANTS,DRUGS FOR CONSTIPATION,HIGH-CEILING DIURETICS
A04A,N02A,V03A,446,36,410,0.08071748878923767,1.8112120800627962e-20,3.2528141017534555e-18,True,ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS,ALL OTHER THERAPEUTIC PRODUCTS
A02B,A06A,J01D,362,29,333,0.08011049723756906,1.8154936285665405e-16,1.8952680284030604e-14,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),DRUGS FOR CONSTIPATION,OTHER BETA-LACTAM ANTIBACTERIALS
A11C,N05A,N07B,213,17,196,0.07981220657276995,6.371512497925775e-10,2.7059136844898402e-08,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",ANTIPSYCHOTICS,DRUGS USED IN ADDICTIVE DISORDERS
H03A,N05A,N07B,226,18,208,0.07964601769911504,1.97305272137405e-10,9.230228095222707e-09,True,THYROID PREPARATIONS,ANTIPSYCHOTICS,DRUGS USED IN ADDICTIVE DISORDERS
A04A,A09A,N02A,314,25,289,0.07961783439490445,3.525060475473573e-14,3.0367106339933316e-12,True,ANTIEMETICS AND ANTINAUSEANTS,"DIGESTIVES, INCL. ENZYMES",OPIOIDS
A04A,B05X,N05B,453,36,417,0.07947019867549669,5.439374102809706e-20,9.221697278939463e-18,True,ANTIEMETICS AND ANTINAUSEANTS,I.V. SOLUTION ADDITIVES,ANXIOLYTICS
A04A,L01E,N02A,252,20,232,0.07936507936507936,1.8998319363523324e-11,1.0349932749403247e-09,True,ANTIEMETICS AND ANTINAUSEANTS,PROTEIN KINASE INHIBITORS,OPIOIDS
H02A,M04A,N05B,252,20,232,0.07936507936507936,1.8998319363523324e-11,1.0349932749403247e-09,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",ANTIGOUT PREPARATIONS,ANXIOLYTICS
A03A,N05A,R06A,227,18,209,0.07929515418502203,2.2962678649424104e-10,1.0555858697149579e-08,True,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ANTIPSYCHOTICS,ANTIHISTAMINES FOR SYSTEMIC USE
A04A,C07A,N05A,468,37,431,0.07905982905982906,2.3237147158182213e-20,4.103680188134979e-18,True,ANTIEMETICS AND ANTINAUSEANTS,BETA BLOCKING AGENTS,ANTIPSYCHOTICS
A04A,B03B,N05B,304,24,280,0.07894736842105263,1.7845140701817025e-13,1.360338927168728e-11,True,ANTIEMETICS AND ANTINAUSEANTS,VITAMIN B12 AND FOLIC ACID,ANXIOLYTICS
A07A,H02A,N02A,560,44,516,0.07857142857142857,8.210123488777661e-24,1.954931876114339e-21,True,INTESTINAL ANTIINFECTIVES,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
A04A,N01B,N06A,471,37,434,0.07855626326963906,3.6652055146702465e-20,6.263954457007408e-18,True,ANTIEMETICS AND ANTINAUSEANTS,"ANESTHETICS, LOCAL",ANTIDEPRESSANTS
A04A,C02A,N02A,650,51,599,0.07846153846153846,2.1627207561825012e-27,7.392319075003156e-25,True,ANTIEMETICS AND ANTINAUSEANTS,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",OPIOIDS
C02A,N06A,R06A,638,50,588,0.07836990595611286,7.986061777576782e-27,2.6037018644678025e-24,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANTIDEPRESSANTS,ANTIHISTAMINES FOR SYSTEMIC USE
N02C,N05B,N07B,219,17,202,0.0776255707762557,1.5517810279561925e-09,6.022956693122277e-08,True,ANTIMIGRAINE PREPARATIONS,ANXIOLYTICS,DRUGS USED IN ADDICTIVE DISORDERS
A07A,N01B,N02A,232,18,214,0.07758620689655173,4.803032320782883e-10,2.09435927864261e-08,True,INTESTINAL ANTIINFECTIVES,"ANESTHETICS, LOCAL",OPIOIDS
A04A,J05A,N05B,285,22,263,0.07719298245614035,5.159852484832337e-12,3.029019220458916e-10,True,ANTIEMETICS AND ANTINAUSEANTS,DIRECT ACTING ANTIVIRALS,ANXIOLYTICS
N03A,N05A,N07B,855,66,789,0.07719298245614035,2.880804128838896e-34,1.7955882675986437e-31,True,ANTIEPILEPTICS,ANTIPSYCHOTICS,DRUGS USED IN ADDICTIVE DISORDERS
C03C,J01F,N03A,208,16,192,0.07692307692307693,6.677449759278956e-09,2.319811726207207e-07,True,HIGH-CEILING DIURETICS,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",ANTIEPILEPTICS
A04A,A11C,H02A,209,16,193,0.07655502392344497,7.683409447002922e-09,2.639008314438994e-07,True,ANTIEMETICS AND ANTINAUSEANTS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
A04A,C02A,N02B,263,20,243,0.07604562737642585,9.381587154122175e-11,4.6235952318641194e-09,True,ANTIEMETICS AND ANTINAUSEANTS,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",OTHER ANALGESICS AND ANTIPYRETICS
A04A,G04C,N02B,264,20,244,0.07575757575757576,1.0772423244400628e-10,5.260119663487054e-09,True,ANTIEMETICS AND ANTINAUSEANTS,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,OTHER ANALGESICS AND ANTIPYRETICS
A04A,C08C,N05A,238,18,220,0.07563025210084033,1.1154707153354931e-09,4.502677218931385e-08,True,ANTIEMETICS AND ANTINAUSEANTS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,ANTIPSYCHOTICS
B05X,N02A,V03A,225,17,208,0.07555555555555556,3.5959337328857584e-09,1.3071188279127786e-07,True,I.V. SOLUTION ADDITIVES,OPIOIDS,ALL OTHER THERAPEUTIC PRODUCTS
A04A,C03C,H02A,305,23,282,0.07540983606557378,4.2912883313249075e-12,2.56895430275247e-10,True,ANTIEMETICS AND ANTINAUSEANTS,HIGH-CEILING DIURETICS,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
A04A,N03A,N05A,584,44,540,0.07534246575342465,2.6520118688342373e-22,5.456450050906326e-20,True,ANTIEMETICS AND ANTINAUSEANTS,ANTIEPILEPTICS,ANTIPSYCHOTICS
A11C,J01E,N02B,266,20,246,0.07518796992481203,1.415662957854996e-10,6.7266209423459815e-09,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",SULFONAMIDES AND TRIMETHOPRIM,OTHER ANALGESICS AND ANTIPYRETICS
A04A,M01A,N07B,306,23,283,0.07516339869281045,4.918689622765407e-12,2.91164442697331e-10,True,ANTIEMETICS AND ANTINAUSEANTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",DRUGS USED IN ADDICTIVE DISORDERS
A04A,N03A,N07B,253,19,234,0.07509881422924901,4.5482234048422555e-10,1.9997085144277403e-08,True,ANTIEMETICS AND ANTINAUSEANTS,ANTIEPILEPTICS,DRUGS USED IN ADDICTIVE DISORDERS
A04A,N05A,R06A,413,31,382,0.07506053268765134,6.847527873235318e-16,6.812808013596379e-14,True,ANTIEMETICS AND ANTINAUSEANTS,ANTIPSYCHOTICS,ANTIHISTAMINES FOR SYSTEMIC USE
A04A,C10A,H02A,600,45,555,0.075,1.2634315166705076e-22,2.6509545248793465e-20,True,ANTIEMETICS AND ANTINAUSEANTS,"LIPID MODIFYING AGENTS, PLAIN","CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
A04A,A07A,N02A,467,35,432,0.07494646680942184,8.761716441278609e-18,1.061018827563293e-15,True,ANTIEMETICS AND ANTINAUSEANTS,INTESTINAL ANTIINFECTIVES,OPIOIDS
A04A,C03C,C03D,294,22,272,0.07482993197278912,1.8033195375074597e-11,9.874921870505964e-10,True,ANTIEMETICS AND ANTINAUSEANTS,HIGH-CEILING DIURETICS,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS
A04A,A06A,N05B,548,41,507,0.07481751824817519,1.2817595802570589e-20,2.3416421573109992e-18,True,ANTIEMETICS AND ANTINAUSEANTS,DRUGS FOR CONSTIPATION,ANXIOLYTICS
A03A,N06A,N07B,214,16,198,0.07476635514018691,1.518108745689187e-08,4.845144659434527e-07,True,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ANTIDEPRESSANTS,DRUGS USED IN ADDICTIVE DISORDERS
C09A,N02C,R01A,214,16,198,0.07476635514018691,1.518108745689187e-08,4.845144659434527e-07,True,"ACE INHIBITORS, PLAIN",ANTIMIGRAINE PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
N05A,N06A,N07B,1930,144,1786,0.07461139896373056,1.4709497053342175e-69,6.234473231088548e-66,True,ANTIPSYCHOTICS,ANTIDEPRESSANTS,DRUGS USED IN ADDICTIVE DISORDERS
A04A,N02A,N07B,873,65,808,0.07445589919816724,7.228412672864434e-32,3.6472505086510264e-29,True,ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS,DRUGS USED IN ADDICTIVE DISORDERS
A07A,H02A,N02B,203,15,188,0.07389162561576355,6.363241149898559e-08,1.7627425679562128e-06,True,INTESTINAL ANTIINFECTIVES,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OTHER ANALGESICS AND ANTIPYRETICS
A04A,A06A,H03A,203,15,188,0.07389162561576355,6.363241149898559e-08,1.7627425679562128e-06,True,ANTIEMETICS AND ANTINAUSEANTS,DRUGS FOR CONSTIPATION,THYROID PREPARATIONS
C02A,N05A,N05B,503,37,466,0.073558648111332,3.3118754123090093e-18,4.528081531461453e-16,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANTIPSYCHOTICS,ANXIOLYTICS
A06A,J01D,M03B,204,15,189,0.07352941176470588,7.236437856017216e-08,1.973675560421066e-06,True,DRUGS FOR CONSTIPATION,OTHER BETA-LACTAM ANTIBACTERIALS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
A06A,C02A,N05B,204,15,189,0.07352941176470588,7.236437856017216e-08,1.973675560421066e-06,True,DRUGS FOR CONSTIPATION,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANXIOLYTICS
A02B,J02A,J05A,272,20,252,0.07352941176470588,3.1322402355890726e-10,1.4153184450448535e-08,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),ANTIMYCOTICS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS
C02D,C03C,N05B,245,18,227,0.07346938775510205,2.822055169267993e-09,1.0418988353158067e-07,True,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",HIGH-CEILING DIURETICS,ANXIOLYTICS
C02A,N05A,N06A,722,53,669,0.07340720221606649,1.400301279714318e-25,4.121553433292476e-23,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",ANTIPSYCHOTICS,ANTIDEPRESSANTS
A04A,H02A,N05B,927,68,859,0.07335490830636461,1.7010169554106688e-32,9.486302978700761e-30,True,ANTIEMETICS AND ANTINAUSEANTS,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",ANXIOLYTICS
C02A,M03B,N05A,343,25,318,0.0728862973760933,2.0557363074035098e-12,1.287838815653946e-10,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",ANTIPSYCHOTICS
H02A,N05B,N07B,508,37,471,0.07283464566929133,6.339995375284456e-18,7.950129112013503e-16,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",ANXIOLYTICS,DRUGS USED IN ADDICTIVE DISORDERS
A04A,A07D,R03A,206,15,191,0.07281553398058252,9.321910078344934e-08,2.478668988460299e-06,True,ANTIEMETICS AND ANTINAUSEANTS,ANTIPROPULSIVES,"ADRENERGICS, INHALANTS"
