drug1,drug2,drug3,n_total,n_ae,n_no_ae,ae_prop,p_value,p_adj,significant,drug1_name,drug2_name,drug3_name
N02A,N02B,N05B,26219,742,25477,0.0283000877226438,3.476201636961798e-27,1.1693280173094355e-24,True,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS,ANXIOLYTICS
N02A,N06A,R03A,28012,709,27303,0.0253105811794945,7.890508505881759e-14,6.262758661297611e-12,True,OPIOIDS,ANTIDEPRESSANTS,"ADRENERGICS, INHALANTS"
A02B,M03B,N02A,30692,707,29985,0.023035318649811,1.0572426461261653e-06,2.1752510831753103e-05,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
A02B,N02A,N05B,26561,673,25888,0.0253379014344339,2.853754045135408e-13,2.078239028333662e-11,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OPIOIDS,ANXIOLYTICS
C07A,N02A,N06A,29087,665,28422,0.0228624471413346,5.984031864690475e-06,9.899578710110894e-05,True,BETA BLOCKING AGENTS,OPIOIDS,ANTIDEPRESSANTS
N02A,N02B,R03A,24675,641,24034,0.0259777102330293,7.873449028432907e-15,7.070090330955515e-13,True,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS,"ADRENERGICS, INHALANTS"
A02B,N02A,R03A,27374,636,26738,0.0232337254328925,1.297418500730053e-06,2.5938578176859703e-05,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OPIOIDS,"ADRENERGICS, INHALANTS"
A02B,C07A,N02A,28662,632,28030,0.0220501011792617,0.0005134713544379,0.0044909141325831,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),BETA BLOCKING AGENTS,OPIOIDS
N02A,N03A,N06A,23844,619,23225,0.025960409327294,2.6755500968774683e-14,2.3142962307358087e-12,True,OPIOIDS,ANTIEPILEPTICS,ANTIDEPRESSANTS
C07A,N02A,N02B,25931,604,25327,0.0232925841656704,1.7932711257915892e-06,3.4579619379231445e-05,True,BETA BLOCKING AGENTS,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
M03B,N02A,N05B,22235,584,21651,0.0262648976838317,1.6211709437479074e-14,1.4196634148721345e-12,True,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS,ANXIOLYTICS
N02A,N05A,N06A,18152,538,17614,0.0296386073159982,1.083323383147661e-24,2.7997303823982e-22,True,OPIOIDS,ANTIPSYCHOTICS,ANTIDEPRESSANTS
C10A,N02A,R03A,23645,529,23116,0.0223725946288856,0.0004532772495555,0.0040292900714703,True,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS,"ADRENERGICS, INHALANTS"
M01A,N02A,N05B,22644,523,22121,0.0230966260378025,2.310014875143839e-05,0.0003227016165725,True,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS,ANXIOLYTICS
C09A,N02A,N02B,20137,485,19652,0.0240850176292397,5.28872222834148e-07,1.176060875792368e-05,True,"ACE INHIBITORS, PLAIN",OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
C09A,N02A,N06A,21300,476,20824,0.0223474178403755,0.0009876755517949,0.00760413150115,True,"ACE INHIBITORS, PLAIN",OPIOIDS,ANTIDEPRESSANTS
C10A,N02A,N05B,20443,472,19971,0.0230885877806584,6.19865025725479e-05,0.0007562567429576,True,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS,ANXIOLYTICS
A02B,C09A,N02A,20334,470,19864,0.0231139962624176,5.802290718095296e-05,0.0007148961912667,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),"ACE INHIBITORS, PLAIN",OPIOIDS
A02B,H02A,N02A,14664,466,14198,0.0317785051827605,1.2973451197009871e-28,5.187422222019495e-26,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
N02A,N02B,N03A,16004,449,15555,0.0280554861284678,3.8071189549895736e-16,3.8419268997209074e-14,True,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS,ANTIEPILEPTICS
A02B,N02A,N03A,15490,446,15044,0.0287927695287282,3.847753141134791e-18,5.0780206928498605e-16,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OPIOIDS,ANTIEPILEPTICS
M03B,N02A,R03A,18553,445,18108,0.0239853392982267,2.508814098478788e-06,4.61517260199327e-05,True,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS,"ADRENERGICS, INHALANTS"
A02B,N02A,R06A,17857,426,17431,0.0238561908495267,7.180240513412537e-06,0.000116422078776,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
B01A,C10A,N02A,18315,425,17890,0.0232050232050232,9.658612023114272e-05,0.0011109075325772,True,ANTITHROMBOTIC AGENTS,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS
N02A,N06A,R06A,17280,424,16856,0.024537037037037,3.961063193124521e-07,9.104430714608984e-06,True,OPIOIDS,ANTIDEPRESSANTS,ANTIHISTAMINES FOR SYSTEMIC USE
H02A,N02A,N02B,13010,421,12589,0.032359723289777,8.822836362534568e-28,3.065140134341517e-25,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
N02A,N05B,R03A,16626,419,16207,0.0252014916396006,2.1360913236219656e-08,6.598840718687564e-07,True,OPIOIDS,ANXIOLYTICS,"ADRENERGICS, INHALANTS"
H02A,N02A,N06A,13884,406,13478,0.0292422932872371,8.112012966421591e-18,9.879872343931402e-16,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS,ANTIDEPRESSANTS
C07A,M03B,N02A,17750,400,17350,0.0225352112676056,0.0014739014182288,0.0105061953767595,True,BETA BLOCKING AGENTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
A04A,N02A,N06A,9039,399,8640,0.0441420511118486,8.33018629177561e-67,2.206666348691359e-63,True,ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS,ANTIDEPRESSANTS
C03C,C07A,N02A,14725,399,14326,0.0270967741935483,3.664517145953942e-12,2.212491377693901e-10,True,HIGH-CEILING DIURETICS,BETA BLOCKING AGENTS,OPIOIDS
C08C,N02A,N06A,15501,397,15104,0.0256112508870395,7.615560700939883e-09,2.619950687894773e-07,True,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS,ANTIDEPRESSANTS
N02A,R03A,R03B,16960,394,16566,0.0232311320754716,0.0001621084454457,0.0017040685396261,True,OPIOIDS,"ADRENERGICS, INHALANTS","OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
A02B,A04A,N02A,9963,394,9569,0.0395463213891398,1.851017346663313e-49,2.6151173073659285e-46,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS
C08C,N02A,N02B,15198,392,14806,0.0257928674825634,4.034152009976971e-09,1.450612825937506e-07,True,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
N02A,N02B,N05A,10625,390,10235,0.0367058823529411,2.159054898782112e-39,1.634096121963947e-36,True,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS,ANTIPSYCHOTICS
N02A,N02B,R06A,15059,390,14669,0.0258981340062421,2.682990920061069e-09,9.975077820690208e-08,True,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS,ANTIHISTAMINES FOR SYSTEMIC USE
C07A,N02A,N05B,15795,388,15407,0.0245647356758467,1.1352582376508565e-06,2.313306978105476e-05,True,BETA BLOCKING AGENTS,OPIOIDS,ANXIOLYTICS
A02B,C08C,N02A,16448,384,16064,0.0233463035019455,0.0001329709142642,0.0014555369912645,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS
B01A,C07A,N02A,15468,374,15094,0.0241789500905094,8.121658086793085e-06,0.0001296040498308,True,ANTITHROMBOTIC AGENTS,BETA BLOCKING AGENTS,OPIOIDS
C07A,N02A,R03A,15940,374,15566,0.0234629861982434,0.0001099235198508,0.0012417373308529,True,BETA BLOCKING AGENTS,OPIOIDS,"ADRENERGICS, INHALANTS"
H02A,N02A,R03A,11403,370,11033,0.0324476015083749,8.520880171039821e-25,2.2571811573084483e-22,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS,"ADRENERGICS, INHALANTS"
A02B,C03C,N02A,14020,365,13655,0.0260342368045649,4.816297948065868e-09,1.71541153135146e-07,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),HIGH-CEILING DIURETICS,OPIOIDS
C03C,N02A,N02B,13257,360,12897,0.0271554650373387,3.2577960143566705e-11,1.7303060936402647e-09,True,HIGH-CEILING DIURETICS,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
C03C,C10A,N02A,15016,349,14667,0.0232418753329781,0.0003838540355656,0.0034882653180559,True,HIGH-CEILING DIURETICS,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS
A02B,B01A,N02A,13377,349,13028,0.0260895567018016,8.371963026949093e-09,2.852389718120662e-07,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),ANTITHROMBOTIC AGENTS,OPIOIDS
N02A,N05A,N05B,10398,348,10050,0.033467974610502,4.071786903194294e-26,1.2505696819201953e-23,True,OPIOIDS,ANTIPSYCHOTICS,ANXIOLYTICS
C03C,N02A,N06A,13412,346,13066,0.025797793021175,3.377350423094403e-08,9.872111747064358e-07,True,HIGH-CEILING DIURETICS,OPIOIDS,ANTIDEPRESSANTS
M03B,N02A,N03A,13970,346,13624,0.0247673586256263,2.0974164386257407e-06,3.958009721046901e-05,True,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS,ANTIEPILEPTICS
B01A,N02A,N02B,12951,344,12607,0.02656165547062,1.3627737183642742e-09,5.368011271296599e-08,True,ANTITHROMBOTIC AGENTS,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
B01A,N02A,N06A,12578,336,12242,0.0267133089521386,1.0991913566875872e-09,4.445431914298349e-08,True,ANTITHROMBOTIC AGENTS,OPIOIDS,ANTIDEPRESSANTS
A02B,N02A,N05A,10220,336,9884,0.0328767123287671,1.0116876029097133e-23,2.3821870756514047e-21,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OPIOIDS,ANTIPSYCHOTICS
M01A,N02A,R06A,15130,335,14795,0.0221414408460013,0.01014535983698,0.0495917374920264,True,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
H02A,M01A,N02A,13906,334,13572,0.0240184093197181,4.417325441378662e-05,0.0005697623904668,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS
N02A,N03A,N05B,11268,328,10940,0.0291089811856585,2.478306476021593e-14,2.152470116387279e-12,True,OPIOIDS,ANTIEPILEPTICS,ANXIOLYTICS
M01A,N02A,N03A,12984,326,12658,0.0251078250154035,1.2173928665060793e-06,2.459388906291404e-05,True,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS,ANTIEPILEPTICS
A04A,N02A,N05B,6403,321,6082,0.0501327502733093,2.0454238751771866e-72,1.0836655690688735e-68,True,ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS,ANXIOLYTICS
M03B,N02A,R06A,12952,320,12632,0.0247066090179122,6.4293758147648025e-06,0.0001056211878034,True,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
N02A,N02B,N05C,13455,314,13141,0.0233370494240059,0.0005909163369027,0.0050291963902179,True,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS,HYPNOTICS AND SEDATIVES
C10A,N02A,N03A,12096,313,11783,0.0258763227513227,1.1670892089334356e-07,3.0496861301747675e-06,True,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS,ANTIEPILEPTICS
N02A,N05B,R06A,10779,309,10470,0.0286668522126356,1.112767048001725e-12,7.278320765818689e-11,True,OPIOIDS,ANXIOLYTICS,ANTIHISTAMINES FOR SYSTEMIC USE
H02A,M03B,N02A,12523,306,12217,0.0244350395272698,2.538829342248576e-05,0.0003509645885253,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
A04A,N02A,N02B,7570,304,7266,0.0401585204755614,4.681674661419064e-40,3.815924977876647e-37,True,ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
H02A,N02A,N05B,8936,303,8633,0.0339077887197851,6.1584239088661475e-24,1.4830604485987658e-21,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS,ANXIOLYTICS
C10A,N02A,R06A,12723,301,12422,0.0236579423092038,0.0003144287079136,0.0029562436460093,True,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
N02A,R03A,R06A,12928,301,12627,0.0232827970297029,0.0008995656259828,0.007065824590744,True,OPIOIDS,"ADRENERGICS, INHALANTS",ANTIHISTAMINES FOR SYSTEMIC USE
N02A,R01A,R03A,13137,298,12839,0.0226840222272969,0.0044482171126037,0.0256089695871499,True,OPIOIDS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"ADRENERGICS, INHALANTS"
A02B,A06A,N02A,9040,290,8750,0.0320796460176991,6.849841225498476e-19,1.0151177290263193e-16,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),DRUGS FOR CONSTIPATION,OPIOIDS
N02A,N05B,N05C,12775,288,12487,0.0225440313111545,0.0071994430269101,0.037773907961911,True,OPIOIDS,ANXIOLYTICS,HYPNOTICS AND SEDATIVES
C09A,N02A,R03A,12320,288,12032,0.0233766233766233,0.0009172633072613,0.0071782289540185,True,"ACE INHIBITORS, PLAIN",OPIOIDS,"ADRENERGICS, INHALANTS"
N02A,N03A,N05A,8592,286,8306,0.0332867783985102,2.83652581205038e-21,5.56589398231219e-19,True,OPIOIDS,ANTIEPILEPTICS,ANTIPSYCHOTICS
C10A,H02A,N02A,10074,283,9791,0.0280921183243994,1.1077980627656776e-10,5.37326087277358e-09,True,"LIPID MODIFYING AGENTS, PLAIN","CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
C09A,N02A,N05B,10691,276,10415,0.0258161070058928,8.336976183154359e-07,1.7730696118538482e-05,True,"ACE INHIBITORS, PLAIN",OPIOIDS,ANXIOLYTICS
C03C,N02A,R03A,9883,276,9607,0.0279267428918344,3.652234288688559e-10,1.632872342740252e-08,True,HIGH-CEILING DIURETICS,OPIOIDS,"ADRENERGICS, INHALANTS"
A06A,N02A,N06A,8287,270,8017,0.0325811512006757,1.0838946654851245e-18,1.552019983173024e-16,True,DRUGS FOR CONSTIPATION,OPIOIDS,ANTIDEPRESSANTS
A11C,N02A,N06A,9565,264,9301,0.0276006272869837,3.016354977533364e-09,1.1097672688174837e-07,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",OPIOIDS,ANTIDEPRESSANTS
B05X,C03C,N02A,10406,258,10148,0.024793388429752,4.213308792430515e-05,0.0005481181088347,True,I.V. SOLUTION ADDITIVES,HIGH-CEILING DIURETICS,OPIOIDS
M01A,N02A,N05A,8424,255,8169,0.0302706552706552,1.9927285789493082e-13,1.492222757777164e-11,True,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS,ANTIPSYCHOTICS
N02A,N03A,R03A,9344,253,9091,0.0270761986301369,4.0383626798906546e-08,1.1612073529476626e-06,True,OPIOIDS,ANTIEPILEPTICS,"ADRENERGICS, INHALANTS"
M03B,N02A,N05A,7758,252,7506,0.0324825986078886,2.435987087294777e-17,2.7754536749435967e-15,True,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS,ANTIPSYCHOTICS
A11C,N02A,N02B,9234,252,8982,0.0272904483430799,2.063592103948076e-08,6.412264496608155e-07,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
C08C,N02A,R03A,10048,250,9798,0.0248805732484076,4.384475192740847e-05,0.000566214492898,True,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS,"ADRENERGICS, INHALANTS"
C10A,N02A,N05A,7808,248,7560,0.0317622950819672,9.48588474455066e-16,9.179217785685733e-14,True,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS,ANTIPSYCHOTICS
A06A,N02A,N02B,7946,245,7701,0.0308331235841933,6.388155296088867e-14,5.206837962873665e-12,True,DRUGS FOR CONSTIPATION,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
C07A,N02A,N03A,8943,243,8700,0.0271720899027172,5.52780238044187e-08,1.5515918946532993e-06,True,BETA BLOCKING AGENTS,OPIOIDS,ANTIEPILEPTICS
C08C,M03B,N02A,10556,241,10315,0.0228306176582038,0.0080725737925577,0.0412723724516003,True,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
A02B,B05X,N02A,8434,241,8193,0.0285748162200616,5.140705501664094e-10,2.2324145694931458e-08,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),I.V. SOLUTION ADDITIVES,OPIOIDS
A04A,M01A,N02A,8377,239,8138,0.0285305001790617,7.112682696910456e-10,2.9671647974985505e-08,True,ANTIEMETICS AND ANTINAUSEANTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS
A02B,A11C,N02A,9500,238,9262,0.0250526315789473,4.266193742012873e-05,0.0005532997416201,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",OPIOIDS
N02A,N06A,R03B,9252,238,9014,0.025724167747514,6.488296068816965e-06,0.0001063418177033,True,OPIOIDS,ANTIDEPRESSANTS,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
B05X,N02A,N02B,7805,238,7567,0.0304932735426008,5.507336293554312e-13,3.7893334653572375e-11,True,I.V. SOLUTION ADDITIVES,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
B05X,N02A,N06A,8273,237,8036,0.0286474072283331,5.573316162148228e-10,2.400603985939945e-08,True,I.V. SOLUTION ADDITIVES,OPIOIDS,ANTIDEPRESSANTS
A04A,N02A,N05A,2728,236,2492,0.0865102639296187,9.754111117645093e-144,2.067091228051348e-139,True,ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS,ANTIPSYCHOTICS
C07A,H02A,N02A,7724,235,7489,0.0304246504401864,1.005474360473338e-12,6.658753952234682e-11,True,BETA BLOCKING AGENTS,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
A02B,N02A,R03B,9819,226,9593,0.0230166004684794,0.0072308075886295,0.0378639175730759,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OPIOIDS,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
A04A,H02A,N02A,3850,222,3628,0.0576623376623376,3.4788795958061953e-67,1.0532059484903556e-63,True,ANTIEMETICS AND ANTINAUSEANTS,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
N02A,R03A,R03D,8983,222,8761,0.024713347434042,0.0001832720904629,0.0018762812275802,True,OPIOIDS,"ADRENERGICS, INHALANTS",OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
H03A,M03B,N02A,9533,222,9311,0.0232875275359278,0.0045305527341721,0.026026422754832,True,THYROID PREPARATIONS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
N02A,N05A,R03A,6927,220,6707,0.0317597805687887,4.157488963349848e-14,3.5383737394100397e-12,True,OPIOIDS,ANTIPSYCHOTICS,"ADRENERGICS, INHALANTS"
B01A,C03C,N02A,8210,218,7992,0.0265529841656516,1.6665995261249717e-06,3.2313428323550226e-05,True,ANTITHROMBOTIC AGENTS,HIGH-CEILING DIURETICS,OPIOIDS
A04A,M03B,N02A,6175,216,5959,0.0349797570850202,2.8690972255072415e-19,4.438095503864925e-17,True,ANTIEMETICS AND ANTINAUSEANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
B05X,C10A,N02A,8791,212,8579,0.0241155727448526,0.0010034117190026,0.0076960916211019,True,I.V. SOLUTION ADDITIVES,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS
C09C,N02A,N06A,9227,212,9015,0.0229760485531592,0.0101100678373762,0.0494658164260051,True,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",OPIOIDS,ANTIDEPRESSANTS
C03C,C09A,N02A,8201,211,7990,0.0257285696866235,2.2200899009057262e-05,0.0003115421702287,True,HIGH-CEILING DIURETICS,"ACE INHIBITORS, PLAIN",OPIOIDS
A11C,C10A,N02A,8968,211,8757,0.0235280999107939,0.0035380273843205,0.0214605172018136,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","LIPID MODIFYING AGENTS, PLAIN",OPIOIDS
C08C,N02A,N05B,8198,209,7989,0.0254940229324225,4.3994199807809904e-05,0.0005677984667034,True,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS,ANXIOLYTICS
B01A,C09A,N02A,8396,207,8189,0.0246545974273463,0.0003523193011087,0.00325047915938,True,ANTITHROMBOTIC AGENTS,"ACE INHIBITORS, PLAIN",OPIOIDS
B01A,N02A,R03A,8152,206,7946,0.025269872423945,8.650270928079975e-05,0.0010094523210785,True,ANTITHROMBOTIC AGENTS,OPIOIDS,"ADRENERGICS, INHALANTS"
B05X,C07A,N02A,7663,200,7463,0.0260994388620644,1.4692047392258752e-05,0.00021697133682,True,I.V. SOLUTION ADDITIVES,BETA BLOCKING AGENTS,OPIOIDS
A02B,N02A,R03D,7749,198,7551,0.0255516840882694,6.183065935156785e-05,0.0007547899383516,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OPIOIDS,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
N02A,N06A,R03D,7802,196,7606,0.025121763650346,0.0001824234466008,0.0018712089449978,True,OPIOIDS,ANTIDEPRESSANTS,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
N02A,N02B,R03B,8211,196,8015,0.0238704177323103,0.0025871477448759,0.0167053123124346,True,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
B01A,N02A,N05B,6935,194,6741,0.027974044700793,1.4649503564446357e-07,3.735887840406103e-06,True,ANTITHROMBOTIC AGENTS,OPIOIDS,ANXIOLYTICS
N02A,N03A,R06A,6509,192,6317,0.0294976186818251,2.141865526938925e-09,8.11993099228796e-08,True,OPIOIDS,ANTIEPILEPTICS,ANTIHISTAMINES FOR SYSTEMIC USE
N02A,N06A,N07B,5098,191,4907,0.0374656728128677,3.920821720250705e-21,7.485590441040806e-19,True,OPIOIDS,ANTIDEPRESSANTS,DRUGS USED IN ADDICTIVE DISORDERS
C03C,N02A,N05B,7157,191,6966,0.0266871594243398,5.443473503702552e-06,9.104821664598616e-05,True,HIGH-CEILING DIURETICS,OPIOIDS,ANXIOLYTICS
A04A,C10A,N02A,4824,191,4633,0.0395936981757877,1.1612672321118135e-24,2.965009058182356e-22,True,ANTIEMETICS AND ANTINAUSEANTS,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS
